Source,Target,Tweet Type
susanoolegend21,h2odelirious,retweet
rafaelmonteirou,talvezricas,retweet
mario_vilas,fred_ssc,retweet
the_news_diva,variety,retweet
leoleo45248573,talvezricas,retweet
isabelizorzan,derrotdevi,retweet
kkkadu__,derrotdevi,retweet
gusstvreal,g1,retweet
justindel12777,i_am_wildcat,retweet
livia_cast,derrotdevi,retweet
thystshadow,bruno_8893,retweet
realdusxn,derrotdevi,retweet
pgosch86,hypex,retweet
lorrana_cardoso,puts_caii,retweet
krelix,kevinhttt,retweet
deprxmido,g1,retweet
glitter7babe,sayorijoestar,retweet
welikepudding,derrotdevi,retweet
prodknxght,talvezricas,retweet
april20015,mikechieknows,retweet
fadhlliii,tech_lagi,retweet
shawn_explicit,andernics,retweet
amrzmi_,myaksiz,retweet
danidandelion_,iam_johnw,retweet
nate_yankee,bolotacmcompota,retweet
dagamerdud,i_am_wildcat,retweet
maosobras,g1,retweet
andr3m3ss3d3r,derrotdevi,retweet
joao_andrelin0,andernics,retweet
victorhugo_021,andernics,retweet
kremzeek8133,linustech,retweet
xmaspk,hypex,retweet
ne_pomuceno,derrotdevi,retweet
kpopmorelikega1,i_am_wildcat,retweet
al4677,lordruffles,retweet
rmchildm,d_sasakii_,retweet
laazoo_,anauhts,retweet
rajaazriel,linustech,retweet
uselin_,jvcom,retweet
courier07me,i_am_wildcat,retweet
naysscrf,derrotdevi,retweet
_farhn_,tech_lagi,retweet
bolinvelin,g1,retweet
_sepn,josh_leigh1,retweet
thelexnvrdx,derrotdevi,retweet
estatodoomal,hypex,retweet
blink_g00,i_am_wildcat,retweet
saulcitogoodman,sayorijoestar,retweet
c4rvalh0sa,caat_sofia,reply
_himiam,i_am_wildcat,retweet
venetra0302,nvidiagfn,reply
washedn3ptune,bolotacmcompota,retweet
marlianelnino,linustech,retweet
gamingjammer,bolotacmcompota,retweet
oneluqmann,tech_lagi,retweet
eclipsedark666,miyawakidinades,retweet
finevirginie,jvcom,retweet
jader22848632,andernics,retweet
flauntye,i_am_wildcat,retweet
antogravier,jvcom,retweet
liumacchiato,alvoradagames,retweet
leanndro_4,porquetendencia,retweet
2020_brayank,ratadehieloyt,reply
2020_brayank,epicgameses,retweet
rmchildm,eduardoo_ti,retweet
sweetempered,verge,retweet
candydela14,hypex,retweet
leonefrr,derrotdevi,retweet
jmsalcido,batosjugando,retweet
amc_laraa,derrotdevi,retweet
027hope,andernics,retweet
taehychoo,derrotdevi,retweet
isabelizorzan,kdutheviw,retweet
nate_yankee,linustech,retweet
carpioapolonio,justmecaseytv,retweet
__oudi__,andernics,retweet
wagaoiron,talvezricas,retweet
stellaasb,lucassbivar,retweet
_nailek_,ian_archery,retweet
_admb_,lucasrocha365,retweet
xx_el_pato_xx,hypex,retweet
sirfapcelot,matheusdaring_,retweet
kamikaze3086,tech_lagi,retweet
qayyim_arman,iam_johnw,retweet
xuxubelezaz,derrotdevi,retweet
nate_yankee,iam_johnw,retweet
9_ducati,itzdannys,retweet
thaliadiazgarci,luxusz_,retweet
