Source,Target,Tweet Type
titsfire,nvidiageforcefr,reply
donnalousu,callofdutyuk,reply
rbl_kota,astrogaming,reply
lucaspoole123,threeuk,reply
clairedbc,aykz_v2,reply
king__sli,nvidiageforcefr,reply
tomizt_,callofdutyuk,reply
spy_zer,nvidiageforcefr,reply
kassyvak,astrogaming,reply
vmoex,callofdutyuk,reply
jullois,nvidiageforcefr,reply
rgransden85,callofdutyuk,reply
f_eymeric,callofdutyfr,reply
phishtickk,scuffrance,reply
mattii__jr13,callofdutyfr,reply
theo_wizman,astrogamingfr,reply
jastindomingo_,nvidiageforceuk,reply
romannoob,callofdutyuk,reply
hinshy1992,callofdutyuk,reply
gameonscorpio,callofdutyuk,reply
anastasia120990,callofdutyfr,reply
theog_zombie,astrogaming,reply
arx1412,callofdutyfr,reply
gbtcharles,nvidiageforcefr,reply
itsfranciscoea,astrogaming,reply
aziczzz1,scuffrance,reply
jeffreykhoward2,callofdutyuk,reply
_ryanhirst_,threeuk,reply
yoyojustinfro,callofdutyuk,reply
mobmagic_,papajohnsuk,reply
ketof__,nvidiageforcefr,reply
epicgamer2599,callofdutyuk,reply
nathan__hatton,callofdutyuk,reply
tru_racer_yt,astrogaming,reply
charlescroese,nvidiageforcefr,reply
nos_zonda,callofdutyuk,reply
thecountshakula,callofdutyuk,reply
mattii__jr13,scuffrance,reply
king_mirza4,callofdutyuk,reply
haleystanwu,callofdutyfr,reply
hegamsouu,scuffrance,reply
dudymou,callofdutyuk,reply
rykoonmesto7,callofdutyuk,reply
singsangtv,astrogaming,reply
tomnorman14,callofdutyuk,reply
rayzonomic,astrogaming,reply
sirskrallex,callofdutyuk,reply
danger_garrettg,astrogaming,reply
ghostpro988,callofdutyes,reply
vertigaytb,callofdutyfr,reply
daf16rees,callofdutyuk,reply
raulenit,callofdutyuk,reply
kholinmr,callofdutyuk,reply
_arcadia514_,callofdutyfr,reply
haleystanwu,nvidiageforcefr,reply
wailing_guitar,callofdutyuk,reply
salmanhaji99,callofdutyuk,reply
ranchainn,callofdutyfr,reply
avnshi,eyohart,reply
minutis33,nvidiageforcefr,reply
helpix51d,nvidiageforcefr,reply
acromonyme,nvidiageforcefr,reply
ms_aria101,threeuk,reply
pldrbs,gbtcharles,reply
ashymarc,callofdutyuk,reply
joseemiliosoy,kontrolfreekes,reply
phik_vicious,callofdutyuk,reply
aidenjprice,callofdutyuk,reply
markmcateer3,callofdutyuk,reply
vincentnijenhu6,nvidiageforceuk,reply
lelkobogdany445,nvidiageforceuk,reply
n_fullofham,astrogaming,reply
bovetp,callofdutyfr,reply
youngerdouglas,kontrolfreek,reply
steveallen_11,kontrolfreek,reply
polak__cccp,callofdutyfr,reply
szymon_frac,callofdutyuk,reply
myosiris_eei7,callofdutyfr,reply
grizzlybeard_gm,astrogaming,reply
pattyslay_1,astrogaming,reply
alexzerith,nvidiageforcefr,reply
nexsexotic,snipzz_elite,reply
firmannovf1,callofdutyfr,reply
sroxas2,nvidiageforcees,reply
glaciercg,callofdutyuk,reply
arcflygaming,nvidiageforcefr,reply
ms_aria101,bigbadabruce,reply
hype_sand,callofdutyfr,reply
mapacho_,callofdutyes,reply
lechevalierdej,callofdutyfr,reply
lvque14,callofdutyfr,reply
timztim,astrogaming,reply
iamashleighhead,callofdutyuk,reply
iddon1,astrogaming,reply
faizpkmn129,astrogaming,reply
ivanalonso360,mrxsoki,reply
zespu_,callofdutyde,reply
rub3nmw3,callofdutyuk,reply
luisslamdunk,threeuk,reply
teapack11,nvidiageforceuk,reply
arahgoku,vivientouvier,reply
zattorr,nvidiageforcefr,reply
pablofonseca76,nvidiageforcees,reply
trounoirtm,nvidiageforcefr,reply
skuskubangbang,callofdutyfr,reply
not_samalam,callofdutyuk,reply
talamdp,callofdutyfr,reply
tyrant_harbl,kontrolfreek,reply
raging_izzy,callofdutyuk,reply
jedioso,astrogaming,reply
inrealss,nvidiageforcefr,reply
jesuslambszn_,callofdutyuk,reply
mrmuald,nvidiageforcefr,reply
